name,quadrant,ring,isNew,description
Gradle (Kotlin),Tooling,Adopt,FALSE,
Webpack,Tooling,Adopt,FALSE,
Helm,Tooling,Adopt,FALSE,
Postman,Tooling,Adopt,FALSE,
Github,Tooling,Adopt,FALSE,
Docker-compose,Tooling,Adopt,FALSE,
Prettier,Tooling,Adopt,FALSE,
Standard JS,Tooling,Adopt,FALSE,
ES Lint,Tooling,Adopt,FALSE,
Kubernetes,Tooling,Adopt,FALSE,
Flyway,Tooling,Adopt,FALSE,
NVM,Tooling,Adopt,FALSE,
Prometheus,Tooling,Adopt,FALSE,
SASS,Tooling,Adopt,FALSE,
IntelliJ,Tooling,Adopt,FALSE,
Circle CI,Tooling,Adopt,FALSE,
Terraform,Tooling,Adopt,FALSE,
Ansible,Tooling,Adopt,FALSE,
VSCode,Tooling,Adopt,FALSE,
Yarn,Tooling,Adopt,FALSE,
NPM,Tooling,Adopt,FALSE,
Appplication Insights,Tooling,Adopt,FALSE,
Kibana,Tooling,Adopt,FALSE,
ELK Stack ,Tooling,Adopt,FALSE,
Grafana,Tooling,Adopt,FALSE,
OWASP Scans,Tooling,Adopt,FALSE,
Docker,Tooling,Adopt,FALSE,
Sentry,Tooling,Adopt,FALSE,
Sonar,Tooling,Assess,FALSE,
Keycloak,Tooling,Assess,FALSE,
SQL Clone,Tooling,Assess,FALSE,
ADO,Tooling,Assess,FALSE,
ZAP,Tooling,Assess,FALSE,
Gradle (Groovy),Tooling,Reduce-and-remove,FALSE,
SBT (Scala build tool),Tooling,Reduce-and-remove,FALSE,
Tomcat Jboss Weblogic,Tooling,Hold,FALSE,(Was on the border of Reduce-and-remove/Hold)
Terragrunt,Tooling,Hold,FALSE,
Jenkins,Tooling,Hold,FALSE,
Make,Tooling,Hold,FALSE,
Browswfy,Tooling,Hold,FALSE,
Jenkins,Tooling,Hold,FALSE,
Gulp,Tooling,Hold,FALSE,
Grunt,Tooling,Hold,FALSE,
Terraform,Language-and-Frameworks,Adopt,FALSE,
Mocha,Language-and-Frameworks,Adopt,FALSE,
Chai,Language-and-Frameworks,Adopt,FALSE,
Sinon,Language-and-Frameworks,Adopt,FALSE,
Node,Language-and-Frameworks,Adopt,FALSE,
Kotlin,Language-and-Frameworks,Adopt,FALSE,
Nunjucks,Language-and-Frameworks,Adopt,FALSE,
Ruby,Language-and-Frameworks,Adopt,FALSE,
Selenium,Language-and-Frameworks,Adopt,FALSE,
Python,Language-and-Frameworks,Adopt,FALSE,
Spring Boot,Language-and-Frameworks,Adopt,FALSE,
JPA,Language-and-Frameworks,Adopt,FALSE,
Express,Language-and-Frameworks,Adopt,FALSE,
Jest,Language-and-Frameworks,Adopt,FALSE,
Java,Language-and-Frameworks,Adopt,FALSE,
Javascript,Language-and-Frameworks,Adopt,FALSE,
C#,Language-and-Frameworks,Reduce-and-remove,FALSE,
PHP,Language-and-Frameworks,Reduce-and-remove,FALSE,
Ruby Rails,Language-and-Frameworks,Reduce-and-remove,FALSE,
React ,Language-and-Frameworks,Reduce-and-remove,FALSE,
GoLang,Language-and-Frameworks,Reduce-and-remove,FALSE,
Scala,Language-and-Frameworks,Reduce-and-remove,FALSE,
PLSQL,Language-and-Frameworks,Reduce-and-remove,FALSE,
Groovy,Language-and-Frameworks,Hold,FALSE,
.NET,Language-and-Frameworks,Hold,FALSE,
React for static,Language-and-Frameworks,Hold,FALSE,
Geb,Language-and-Frameworks,Hold,FALSE,
Angular,Language-and-Frameworks,Hold,FALSE,
Ruby,Language-and-Frameworks,Hold,FALSE,
Rust,Language-and-Frameworks,Assess,FALSE,
Gatsby,Language-and-Frameworks,Assess,FALSE,
Next JS,Language-and-Frameworks,Assess,FALSE,
PowerShell,Language-and-Frameworks,Assess,FALSE,
Cypress,Language-and-Frameworks,Assess,FALSE,(was Trial)
Typescript,Language-and-Frameworks,Assess,FALSE,(was Trial)
React,Language-and-Frameworks,Assess,FALSE,(was Assess-Trial)
Postgres,Platforms,Adopt,FALSE,
Cloud Native Database,Platforms,Adopt,FALSE,
Elastic cache redis,Platforms,Adopt,FALSE,
AKS,Platforms,Adopt,FALSE,
Azure,Platforms,Adopt,FALSE,
Cloud Platform,Platforms,Adopt,FALSE,
AWS Stacks,Platforms,Adopt,FALSE,
SNS / SQS,Platforms,Adopt,FALSE,
Docker Hub,Platforms,Adopt,FALSE,
Localstack,Platforms,Adopt,FALSE,
S3,Platforms,Adopt,FALSE,
GCP,Platforms,Assess,FALSE,
Quay,Platforms,Assess,FALSE,
Serverless,Platforms,Assess,FALSE,
ELK Stack ,Platforms,Assess,FALSE,
Kafka,Platforms,Assess,FALSE,
Oracle,Platforms,Reduce-and-remove,FALSE,
SQL Server,Platforms,Reduce-and-remove,FALSE,
Mongo,Platforms,Reduce-and-remove,FALSE,
ECS,Platforms,Reduce-and-remove,FALSE,
AWS Beanstalk,Platforms,Reduce-and-remove,FALSE,
Scrum,Techniques,Adopt,FALSE,
Kanban,Techniques,Adopt,FALSE,
Agile,Techniques,Adopt,FALSE,
GDS Service,Techniques,Adopt,FALSE,
Trunk based development,Techniques,Adopt,FALSE,
Domin Driven Design,Techniques,Adopt,FALSE,
Rest,Techniques,Adopt,FALSE,
BDD,Techniques,Adopt,FALSE,
CI/CD,Techniques,Adopt,FALSE,
Feature switching,Techniques,Adopt,FALSE,
TDD,Techniques,Adopt,FALSE,
PR Review,Techniques,Adopt,FALSE,
Prototyping Spikes,Techniques,Adopt,FALSE,
ADR,Techniques,Adopt,FALSE,
Pairing,Techniques,Adopt,FALSE,
Container Scanning,Techniques,Assess,FALSE,
A/B Testing,Techniques,Assess,FALSE,
Consumer Driven Contracts,Techniques,Assess,FALSE,
Serverless,Techniques,Assess,FALSE,
Hateoas (Ext APIS),Techniques,Assess,FALSE,
Waterfall,Techniques,Reduce-and-remove,FALSE,
